customer_id,segment_name,recency_days,frequency_180d,monetary_180d,R,F,M,rfm_score,return_rate_180d,avg_discount_pct_180d,ticket_count_90d,negative_ticket_rate_90d,sessions_30d,last_visit_days_ago,engagement_score,last_campaign_received,manual_priority_bucket,churn_next_60d
CUST00001,Mid_Tier_At_Risk,107,1,362.73,2,1,1,4,0.0,0.23,0,0.0,1,20,3,welcome_offer,high,1
CUST00002,Mid_Tier_At_Risk,40,1,581.0,4,1,2,7,0.0,0.23,1,0.0,8,0,8,free_shipping,medium,0
CUST00003,Dormant,171,1,649.98,1,1,2,4,0.0,0.47,0,0.0,1,26,1,none,high,1
CUST00004,Dormant,131,1,1604.04,2,1,4,7,0.0,0.16,0,0.0,1,14,1,free_shipping,high,1
CUST00005,Champions,38,3,1781.9,4,5,4,13,0.0,0.48,0,0.0,18,9,22,welcome_offer,medium,0
CUST00006,High_Value_Unhappy,51,4,2989.58,3,5,5,13,0.25,0.38,2,1.0,2,1,2,none,medium,0
CUST00007,New_Customers,3,1,719.33,5,1,3,9,0.0,0.18,0,0.0,11,12,24,free_shipping,low,0
CUST00008,Champions,47,3,2449.11,3,5,5,13,0.0,0.217,0,0.0,2,16,2,bundle_discount,medium,0
CUST00009,New_Customers,31,1,376.85,4,1,2,7,0.0,0.49,0,0.0,11,6,11,none,low,0
CUST00010,New_Customers,9,1,636.8,5,1,2,8,0.0,0.45,0,0.0,13,5,19,none,low,0
CUST00011,Mid_Tier_At_Risk,1,1,508.08,5,1,2,8,0.0,0.14,0,0.0,10,0,10,new_launch,low,0
CUST00012,Mid_Tier_At_Risk,50,1,978.88,3,1,3,7,0.0,0.31,0,0.0,3,5,3,none,medium,1
CUST00013,Loyal_Slipping,61,3,1754.44,3,5,4,12,0.0,0.23,0,0.0,4,21,6,free_shipping,medium,0
CUST00014,Mid_Tier_At_Risk,51,2,1382.39,3,3,4,10,0.0,0.145,0,0.0,11,17,11,bundle_discount,medium,0
CUST00015,Mid_Tier_At_Risk,35,2,1523.14,4,3,4,11,0.0,0.285,0,0.0,6,11,6,none,low,0
CUST00016,Mid_Tier_At_Risk,215,0,0.0,1,1,1,3,0.0,0.0,0,0.0,2,32,7,welcome_offer,high,1
CUST00017,Mid_Tier_At_Risk,286,0,0.0,1,1,1,3,0.0,0.0,0,0.0,4,47,17,bundle_discount,high,1
CUST00018,Mid_Tier_At_Risk,111,1,329.21,2,1,1,4,0.0,0.36,0,0.0,3,37,9,new_launch,high,1
CUST00019,Mid_Tier_At_Risk,9,2,1598.93,5,3,4,12,0.0,0.105,0,0.0,5,0,9,free_shipping,low,0
CUST00020,Dormant,368,0,0.0,1,1,1,3,0.0,0.0,0,0.0,0,60,0,welcome_offer,high,1
CUST00021,Mid_Tier_At_Risk,77,2,1059.3,3,3,3,9,0.0,0.435,1,1.0,3,18,5,new_launch,high,1
CUST00022,New_Customers,29,1,454.06,4,1,2,7,0.0,0.31,0,0.0,10,0,15,welcome_offer,low,0
CUST00023,New_Customers,21,1,400.98,4,1,2,7,0.0,0.25,0,0.0,3,7,8,welcome_offer,low,0
CUST00024,Mid_Tier_At_Risk,4,1,481.35,5,1,2,8,0.0,0.34,0,0.0,13,0,16,new_launch,low,0
CUST00025,Mid_Tier_At_Risk,165,1,517.97,1,1,2,4,0.0,0.38,0,0.0,11,29,18,new_launch,high,1
CUST00026,Loyal_Slipping,72,3,3561.39,3,5,5,13,0.333,0.163,1,1.0,14,26,15,none,medium,0
CUST00027,High_Value_Unhappy,70,1,2128.34,3,1,5,9,1.0,0.3,1,0.0,11,18,18,free_shipping,medium,0
CUST00028,Mid_Tier_At_Risk,83,1,641.83,3,1,2,6,0.0,0.11,0,0.0,1,19,4,free_shipping,high,0
CUST00029,Champions,18,3,1382.04,5,5,4,14,0.0,0.2,0,0.0,1,0,1,free_shipping,low,0
CUST00030,High_Value_Unhappy,5,5,2819.98,5,5,5,15,0.0,0.362,2,1.0,11,3,11,free_shipping,medium,0
CUST00031,New_Customers,49,1,672.95,3,1,2,6,0.0,0.24,0,0.0,6,9,6,new_launch,medium,1
CUST00032,Mid_Tier_At_Risk,33,1,694.18,4,1,3,8,0.0,0.32,0,0.0,12,13,12,bundle_discount,low,0
CUST00033,High_Value_Unhappy,12,3,1877.69,5,5,4,14,0.333,0.403,1,1.0,7,7,10,welcome_offer,medium,0
CUST00034,High_Value_Unhappy,50,2,1460.21,3,3,4,10,0.0,0.185,1,1.0,7,0,17,welcome_offer,medium,0
CUST00035,Mid_Tier_At_Risk,127,1,779.74,2,1,3,6,0.0,0.12,0,0.0,6,25,14,new_launch,high,1
CUST00036,Discount_Sensitive,27,4,1737.33,4,5,4,13,0.25,0.365,1,0.0,0,14,0,bundle_discount,medium,1
CUST00037,Mid_Tier_At_Risk,102,1,435.83,2,1,2,5,0.0,0.43,0,0.0,5,28,8,welcome_offer,high,0
CUST00038,Mid_Tier_At_Risk,51,3,1955.61,3,5,5,13,0.0,0.317,1,0.0,5,14,10,bundle_discount,medium,0
CUST00039,Mid_Tier_At_Risk,15,2,1173.55,5,3,3,11,0.0,0.21,0,0.0,6,4,10,welcome_offer,low,0
CUST00040,Dormant,154,1,634.73,1,1,2,4,0.0,0.38,0,0.0,1,42,2,none,high,1
CUST00041,Mid_Tier_At_Risk,54,1,366.99,3,1,1,5,0.0,0.44,0,0.0,5,22,11,free_shipping,medium,1
CUST00042,Loyal_Slipping,87,5,4306.0,2,5,5,12,0.0,0.2,2,0.5,3,14,12,none,high,0
CUST00043,Mid_Tier_At_Risk,24,1,363.01,4,1,1,6,0.0,0.43,0,0.0,3,0,3,welcome_offer,low,0
CUST00044,Mid_Tier_At_Risk,72,1,899.51,3,1,3,7,0.0,0.29,0,0.0,6,10,12,welcome_offer,medium,0
CUST00045,Mid_Tier_At_Risk,96,1,413.75,2,1,2,5,0.0,0.33,0,0.0,6,10,10,welcome_offer,high,1
CUST00046,Mid_Tier_At_Risk,127,1,489.87,2,1,2,5,0.0,0.13,0,0.0,7,29,17,new_launch,high,1
CUST00047,Mid_Tier_At_Risk,204,0,0.0,1,1,1,3,0.0,0.0,0,0.0,2,36,6,free_shipping,high,1
CUST00048,Champions,61,4,2450.45,3,5,5,13,0.25,0.312,0,0.0,12,12,12,none,medium,0
CUST00049,New_Customers,8,1,380.83,5,1,2,8,0.0,0.47,0,0.0,4,0,8,new_launch,low,0
CUST00050,Champions,0,2,2026.54,5,3,5,13,0.5,0.3,0,0.0,3,0,7,bundle_discount,low,0
CUST00051,Mid_Tier_At_Risk,210,0,0.0,1,1,1,3,0.0,0.0,0,0.0,6,35,16,new_launch,high,1
CUST00052,Mid_Tier_At_Risk,55,2,1820.53,3,3,4,10,0.0,0.19,0,0.0,7,8,7,free_shipping,medium,1
CUST00053,High_Value_Unhappy,25,3,2063.87,4,5,5,14,0.0,0.457,1,1.0,9,5,13,welcome_offer,medium,0
